home_team,away_team,home_goals,away_goals,result,season
Tottenham Hotspur,Manchester City,0,0,D,2010-2011
Aston Villa,West Ham United,3,0,H,2010-2011
Blackburn Rovers,Everton,1,0,H,2010-2011
Bolton Wanderers,Fulham,0,0,D,2010-2011
Sunderland,Birmingham City,2,2,D,2010-2011
Wigan Athletic,Blackpool,0,4,A,2010-2011
Wolverhampton Wanderers,Stoke City,2,1,H,2010-2011
Chelsea,West Bromwich Albion,6,0,H,2010-2011
Liverpool,Arsenal,1,1,D,2010-2011
Manchester United,Newcastle United,3,0,H,2010-2011
Arsenal,Blackpool,6,0,H,2010-2011
Birmingham City,Blackburn Rovers,2,1,H,2010-2011
Everton,Wolverhampton Wanderers,1,1,D,2010-2011
Stoke City,Tottenham Hotspur,1,2,A,2010-2011
West Bromwich Albion,Sunderland,1,0,H,2010-2011
West Ham United,Bolton Wanderers,1,3,A,2010-2011
Wigan Athletic,Chelsea,0,6,A,2010-2011
Newcastle United,Aston Villa,6,0,H,2010-2011
Fulham,Manchester United,2,2,D,2010-2011
Manchester City,Liverpool,3,0,H,2010-2011
Blackburn Rovers,Arsenal,1,2,A,2010-2011
Blackpool,Fulham,2,2,D,2010-2011
Chelsea,Stoke City,2,0,H,2010-2011
Tottenham Hotspur,Wigan Athletic,0,1,A,2010-2011
Wolverhampton Wanderers,Newcastle United,1,1,D,2010-2011
Manchester United,West Ham United,3,0,H,2010-2011
Bolton Wanderers,Birmingham City,2,2,D,2010-2011
Liverpool,West Bromwich Albion,1,0,H,2010-2011
Sunderland,Manchester City,1,0,H,2010-2011
Aston Villa,Everton,1,0,H,2010-2011
Everton,Manchester United,3,3,D,2010-2011
Arsenal,Bolton Wanderers,4,1,H,2010-2011
Fulham,Wolverhampton Wanderers,2,1,H,2010-2011
Manchester City,Blackburn Rovers,1,1,D,2010-2011
Newcastle United,Blackpool,0,2,A,2010-2011
West Bromwich Albion,Tottenham Hotspur,1,1,D,2010-2011
West Ham United,Chelsea,1,3,A,2010-2011
Wigan Athletic,Sunderland,1,1,D,2010-2011
Birmingham City,Liverpool,0,0,D,2010-2011
Stoke City,Aston Villa,2,1,H,2010-2011
Stoke City,West Ham United,1,1,D,2010-2011
Aston Villa,Bolton Wanderers,1,1,D,2010-2011
Blackburn Rovers,Fulham,1,1,D,2010-2011
Everton,Newcastle United,0,1,A,2010-2011
Tottenham Hotspur,Wolverhampton Wanderers,3,1,H,2010-2011
West Bromwich Albion,Birmingham City,3,1,H,2010-2011
Sunderland,Arsenal,1,1,D,2010-2011
Manchester United,Liverpool,3,2,H,2010-2011
Wigan Athletic,Manchester City,0,2,A,2010-2011
Chelsea,Blackpool,4,0,H,2010-2011
Manchester City,Chelsea,1,0,H,2010-2011
Arsenal,West Bromwich Albion,2,3,A,2010-2011
Birmingham City,Wigan Athletic,0,0,D,2010-2011
Blackpool,Blackburn Rovers,1,2,A,2010-2011
Fulham,Everton,0,0,D,2010-2011
Liverpool,Sunderland,2,2,D,2010-2011
West Ham United,Tottenham Hotspur,1,0,H,2010-2011
Bolton Wanderers,Manchester United,2,2,D,2010-2011
Wolverhampton Wanderers,Aston Villa,1,2,A,2010-2011
Newcastle United,Stoke City,1,2,A,2010-2011
Wigan Athletic,Wolverhampton Wanderers,2,0,H,2010-2011
Birmingham City,Everton,0,2,A,2010-2011
Stoke City,Blackburn Rovers,1,0,H,2010-2011
Sunderland,Manchester United,0,0,D,2010-2011
Tottenham Hotspur,Aston Villa,2,1,H,2010-2011
West Bromwich Albion,Bolton Wanderers,1,1,D,2010-2011
West Ham United,Fulham,1,1,D,2010-2011
Manchester City,Newcastle United,2,1,H,2010-2011
Liverpool,Blackpool,1,2,A,2010-2011
Chelsea,Arsenal,2,0,H,2010-2011
Arsenal,Birmingham City,2,1,H,2010-2011
Bolton Wanderers,Stoke City,2,1,H,2010-2011
Fulham,Tottenham Hotspur,1,2,A,2010-2011
Manchester United,West Bromwich Albion,2,2,D,2010-2011
Newcastle United,Wigan Athletic,2,2,D,2010-2011
Wolverhampton Wanderers,West Ham United,1,1,D,2010-2011
Aston Villa,Chelsea,0,0,D,2010-2011
Everton,Liverpool,2,0,H,2010-2011
Blackpool,Manchester City,2,3,A,2010-2011
Blackburn Rovers,Sunderland,0,0,D,2010-2011
Tottenham Hotspur,Everton,1,1,D,2010-2011
Birmingham City,Blackpool,2,0,H,2010-2011
Chelsea,Wolverhampton Wanderers,2,0,H,2010-2011
Sunderland,Aston Villa,1,0,H,2010-2011
West Bromwich Albion,Fulham,2,1,H,2010-2011
Wigan Athletic,Bolton Wanderers,1,1,D,2010-2011
West Ham United,Newcastle United,1,2,A,2010-2011
Stoke City,Manchester United,1,2,A,2010-2011
Liverpool,Blackburn Rovers,2,1,H,2010-2011
Manchester City,Arsenal,0,3,A,2010-2011
Arsenal,West Ham United,1,0,H,2010-2011
Blackburn Rovers,Chelsea,1,2,A,2010-2011
Everton,Stoke City,1,0,H,2010-2011
Fulham,Wigan Athletic,2,0,H,2010-2011
Wolverhampton Wanderers,Manchester City,2,1,H,2010-2011
Manchester United,Tottenham Hotspur,2,0,H,2010-2011
Aston Villa,Birmingham City,0,0,D,2010-2011
Newcastle United,Sunderland,5,1,H,2010-2011
Bolton Wanderers,Liverpool,0,1,A,2010-2011
Blackpool,West Bromwich Albion,2,1,H,2010-2011
Bolton Wanderers,Tottenham Hotspur,4,2,H,2010-2011
Birmingham City,West Ham United,2,2,D,2010-2011
Blackburn Rovers,Wigan Athletic,2,1,H,2010-2011
Blackpool,Everton,2,2,D,2010-2011
Fulham,Aston Villa,1,1,D,2010-2011
Manchester United,Wolverhampton Wanderers,2,1,H,2010-2011
Sunderland,Stoke City,2,0,H,2010-2011
Arsenal,Newcastle United,0,1,A,2010-2011
West Bromwich Albion,Manchester City,0,2,A,2010-2011
Liverpool,Chelsea,2,0,H,2010-2011
Stoke City,Birmingham City,3,2,H,2010-2011
Tottenham Hotspur,Sunderland,1,1,D,2010-2011
Aston Villa,Blackpool,3,2,H,2010-2011
Chelsea,Fulham,1,0,H,2010-2011
Newcastle United,Blackburn Rovers,1,2,A,2010-2011
West Ham United,West Bromwich Albion,2,2,D,2010-2011
Wigan Athletic,Liverpool,1,1,D,2010-2011
Wolverhampton Wanderers,Arsenal,0,2,A,2010-2011
Everton,Bolton Wanderers,1,1,D,2010-2011
Manchester City,Manchester United,0,0,D,2010-2011
Aston Villa,Manchester United,2,2,D,2010-2011
Manchester City,Birmingham City,0,0,D,2010-2011
Newcastle United,Fulham,0,0,D,2010-2011
Tottenham Hotspur,Blackburn Rovers,4,2,H,2010-2011
West Ham United,Blackpool,0,0,D,2010-2011
Wigan Athletic,West Bromwich Albion,1,0,H,2010-2011
Wolverhampton Wanderers,Bolton Wanderers,2,3,A,2010-2011
Stoke City,Liverpool,2,0,H,2010-2011
Everton,Arsenal,1,2,A,2010-2011
Chelsea,Sunderland,0,3,A,2010-2011
Arsenal,Tottenham Hotspur,2,3,A,2010-2011
Birmingham City,Chelsea,1,0,H,2010-2011
Blackpool,Wolverhampton Wanderers,2,1,H,2010-2011
Bolton Wanderers,Newcastle United,5,1,H,2010-2011
Manchester United,Wigan Athletic,2,0,H,2010-2011
West Bromwich Albion,Stoke City,0,3,A,2010-2011
Liverpool,West Ham United,3,0,H,2010-2011
Blackburn Rovers,Aston Villa,2,0,H,2010-2011
Fulham,Manchester City,1,4,A,2010-2011
Sunderland,Everton,2,2,D,2010-2011
Aston Villa,Arsenal,2,4,A,2010-2011
Bolton Wanderers,Blackpool,2,2,D,2010-2011
Everton,West Bromwich Albion,1,4,A,2010-2011
Fulham,Birmingham City,1,1,D,2010-2011
Manchester United,Blackburn Rovers,7,1,H,2010-2011
Stoke City,Manchester City,1,1,D,2010-2011
West Ham United,Wigan Athletic,3,1,H,2010-2011
Wolverhampton Wanderers,Sunderland,3,2,H,2010-2011
Newcastle United,Chelsea,1,1,D,2010-2011
Tottenham Hotspur,Liverpool,2,1,H,2010-2011
Arsenal,Fulham,2,1,H,2010-2011
Birmingham City,Tottenham Hotspur,1,1,D,2010-2011
Blackburn Rovers,Wolverhampton Wanderers,3,0,H,2010-2011
Chelsea,Everton,1,1,D,2010-2011
Manchester City,Bolton Wanderers,1,0,H,2010-2011
Wigan Athletic,Stoke City,2,2,D,2010-2011
West Bromwich Albion,Newcastle United,3,1,H,2010-2011
Sunderland,West Ham United,1,0,H,2010-2011
Liverpool,Aston Villa,3,0,H,2010-2011
Aston Villa,West Bromwich Albion,2,1,H,2010-2011
Everton,Wigan Athletic,0,0,D,2010-2011
Fulham,Sunderland,0,0,D,2010-2011
Stoke City,Blackpool,0,1,A,2010-2011
West Ham United,Manchester City,1,3,A,2010-2011
Newcastle United,Liverpool,3,1,H,2010-2011
Bolton Wanderers,Blackburn Rovers,2,1,H,2010-2011
Wolverhampton Wanderers,Birmingham City,1,0,H,2010-2011
Tottenham Hotspur,Chelsea,1,1,D,2010-2011
Manchester United,Arsenal,1,0,H,2010-2011
Sunderland,Bolton Wanderers,1,0,H,2010-2011
Blackburn Rovers,West Ham United,1,1,D,2010-2011
Manchester City,Everton,1,2,A,2010-2011
Fulham,West Ham United,1,3,A,2010-2011
Blackburn Rovers,Stoke City,0,2,A,2010-2011
Bolton Wanderers,West Bromwich Albion,2,0,H,2010-2011
Manchester United,Sunderland,2,0,H,2010-2011
Newcastle United,Manchester City,1,3,A,2010-2011
Wolverhampton Wanderers,Wigan Athletic,1,2,A,2010-2011
Aston Villa,Tottenham Hotspur,1,2,A,2010-2011
Arsenal,Chelsea,3,1,H,2010-2011
Manchester City,Aston Villa,4,0,H,2010-2011
Stoke City,Fulham,0,2,A,2010-2011
Sunderland,Blackpool,0,2,A,2010-2011
Tottenham Hotspur,Newcastle United,2,0,H,2010-2011
West Bromwich Albion,Blackburn Rovers,1,3,A,2010-2011
West Ham United,Everton,1,1,D,2010-2011
Birmingham City,Manchester United,1,1,D,2010-2011
Chelsea,Bolton Wanderers,1,0,H,2010-2011
Wigan Athletic,Arsenal,2,2,D,2010-2011
Liverpool,Wolverhampton Wanderers,0,1,A,2010-2011
West Bromwich Albion,Manchester United,1,2,A,2010-2011
Liverpool,Bolton Wanderers,2,1,H,2010-2011
Manchester City,Blackpool,1,0,H,2010-2011
Stoke City,Everton,2,0,H,2010-2011
Sunderland,Blackburn Rovers,3,0,H,2010-2011
Tottenham Hotspur,Fulham,1,0,H,2010-2011
West Ham United,Wolverhampton Wanderers,2,0,H,2010-2011
Birmingham City,Arsenal,0,3,A,2010-2011
Chelsea,Aston Villa,3,3,D,2010-2011
Wigan Athletic,Newcastle United,0,1,A,2010-2011
Blackpool,Birmingham City,1,2,A,2010-2011
Fulham,West Bromwich Albion,3,0,H,2010-2011
Manchester United,Stoke City,2,1,H,2010-2011
Arsenal,Manchester City,0,0,D,2010-2011
Aston Villa,Sunderland,0,1,A,2010-2011
Newcastle United,West Ham United,5,0,H,2010-2011
Wolverhampton Wanderers,Chelsea,1,0,H,2010-2011
Blackburn Rovers,Liverpool,3,1,H,2010-2011
Bolton Wanderers,Wigan Athletic,1,1,D,2010-2011
Everton,Tottenham Hotspur,2,1,H,2010-2011
Blackpool,Liverpool,2,1,H,2010-2011
Chelsea,Blackburn Rovers,2,0,H,2010-2011
Manchester City,Wolverhampton Wanderers,4,3,H,2010-2011
Stoke City,Bolton Wanderers,2,0,H,2010-2011
West Bromwich Albion,Blackpool,3,2,H,2010-2011
