home_team,away_team,home_goals,away_goals,result,season
ManchesterUnited,LeicesterCity,2,1,H,2018-2019
AFCBournemouth,CardiffCity,2,0,H,2018-2019
Fulham,CrystalPalace,0,2,A,2018-2019
HuddersfieldTownAFC,Chelsea,0,3,A,2018-2019
NewcastleUnited,TottenhamHotspur,1,2,A,2018-2019
Watford,BrightonandHoveAlbion,2,0,H,2018-2019
WolverhamptonWanderers,Everton,2,2,D,2018-2019
Arsenal,ManchesterCity,0,2,A,2018-2019
Liverpool,WestHamUnited,4,0,H,2018-2019
Southampton,Burnley,0,0,D,2018-2019
CardiffCity,NewcastleUnited,0,0,D,2018-2019
Chelsea,Arsenal,3,2,H,2018-2019
Everton,Southampton,2,1,H,2018-2019
LeicesterCity,WolverhamptonWanderers,2,0,H,2018-2019
TottenhamHotspur,Fulham,3,1,H,2018-2019
WestHamUnited,AFCBournemouth,1,2,A,2018-2019
BrightonandHoveAlbion,ManchesterUnited,3,2,H,2018-2019
Burnley,Watford,1,3,A,2018-2019
ManchesterCity,HuddersfieldTownAFC,6,1,H,2018-2019
CrystalPalace,Liverpool,0,2,A,2018-2019
Arsenal,WestHamUnited,3,1,H,2018-2019
AFCBournemouth,Everton,2,2,D,2018-2019
HuddersfieldTownAFC,CardiffCity,0,0,D,2018-2019
Liverpool,BrightonandHoveAlbion,1,0,H,2018-2019
Southampton,LeicesterCity,1,2,A,2018-2019
WolverhamptonWanderers,ManchesterCity,1,1,D,2018-2019
Fulham,Burnley,4,2,H,2018-2019
NewcastleUnited,Chelsea,1,2,A,2018-2019
Watford,CrystalPalace,2,1,H,2018-2019
ManchesterUnited,TottenhamHotspur,0,3,A,2018-2019
BrightonandHoveAlbion,Fulham,2,2,D,2018-2019
Chelsea,AFCBournemouth,2,0,H,2018-2019
CrystalPalace,Southampton,0,2,A,2018-2019
Everton,HuddersfieldTownAFC,1,1,D,2018-2019
LeicesterCity,Liverpool,1,2,A,2018-2019
ManchesterCity,NewcastleUnited,2,1,H,2018-2019
WestHamUnited,WolverhamptonWanderers,0,1,A,2018-2019
Burnley,ManchesterUnited,0,2,A,2018-2019
CardiffCity,Arsenal,2,3,A,2018-2019
Watford,TottenhamHotspur,2,1,H,2018-2019
AFCBournemouth,LeicesterCity,4,2,H,2018-2019
Chelsea,CardiffCity,4,1,H,2018-2019
HuddersfieldTownAFC,CrystalPalace,0,1,A,2018-2019
ManchesterCity,Fulham,3,0,H,2018-2019
NewcastleUnited,Arsenal,1,2,A,2018-2019
TottenhamHotspur,Liverpool,1,2,A,2018-2019
Watford,ManchesterUnited,1,2,A,2018-2019
Everton,WestHamUnited,1,3,A,2018-2019
WolverhamptonWanderers,Burnley,1,0,H,2018-2019
Southampton,BrightonandHoveAlbion,2,2,D,2018-2019
BrightonandHoveAlbion,TottenhamHotspur,1,2,A,2018-2019
Burnley,AFCBournemouth,4,0,H,2018-2019
CardiffCity,ManchesterCity,0,5,A,2018-2019
CrystalPalace,NewcastleUnited,0,0,D,2018-2019
Fulham,Watford,1,1,D,2018-2019
LeicesterCity,HuddersfieldTownAFC,3,1,H,2018-2019
Liverpool,Southampton,3,0,H,2018-2019
ManchesterUnited,WolverhamptonWanderers,1,1,D,2018-2019
Arsenal,Everton,2,0,H,2018-2019
WestHamUnited,Chelsea,0,0,D,2018-2019
Arsenal,Watford,2,0,H,2018-2019
Chelsea,Liverpool,1,1,D,2018-2019
Everton,Fulham,3,0,H,2018-2019
HuddersfieldTownAFC,TottenhamHotspur,0,2,A,2018-2019
ManchesterCity,BrightonandHoveAlbion,2,0,H,2018-2019
NewcastleUnited,LeicesterCity,0,2,A,2018-2019
WestHamUnited,ManchesterUnited,3,1,H,2018-2019
WolverhamptonWanderers,Southampton,2,0,H,2018-2019
CardiffCity,Burnley,1,2,A,2018-2019
AFCBournemouth,CrystalPalace,2,1,H,2018-2019
BrightonandHoveAlbion,WestHamUnited,1,0,H,2018-2019
Burnley,HuddersfieldTownAFC,1,1,D,2018-2019
CrystalPalace,WolverhamptonWanderers,0,1,A,2018-2019
LeicesterCity,Everton,1,2,A,2018-2019
ManchesterUnited,NewcastleUnited,3,2,H,2018-2019
TottenhamHotspur,CardiffCity,1,0,H,2018-2019
Watford,AFCBournemouth,0,4,A,2018-2019
Fulham,Arsenal,1,5,A,2018-2019
Liverpool,ManchesterCity,0,0,D,2018-2019
Southampton,Chelsea,0,3,A,2018-2019
AFCBournemouth,Southampton,0,0,D,2018-2019
CardiffCity,Fulham,4,2,H,2018-2019
Chelsea,ManchesterUnited,2,2,D,2018-2019
HuddersfieldTownAFC,Liverpool,0,1,A,2018-2019
ManchesterCity,Burnley,5,0,H,2018-2019
NewcastleUnited,BrightonandHoveAlbion,0,1,A,2018-2019
WestHamUnited,TottenhamHotspur,0,1,A,2018-2019
WolverhamptonWanderers,Watford,0,2,A,2018-2019
Everton,CrystalPalace,2,0,H,2018-2019
Arsenal,LeicesterCity,3,1,H,2018-2019
BrightonandHoveAlbion,WolverhamptonWanderers,1,0,H,2018-2019
Fulham,AFCBournemouth,0,3,A,2018-2019
LeicesterCity,WestHamUnited,1,1,D,2018-2019
Liverpool,CardiffCity,4,1,H,2018-2019
Southampton,NewcastleUnited,0,0,D,2018-2019
Watford,HuddersfieldTownAFC,3,0,H,2018-2019
Burnley,Chelsea,0,4,A,2018-2019
CrystalPalace,Arsenal,2,2,D,2018-2019
ManchesterUnited,Everton,2,1,H,2018-2019
TottenhamHotspur,ManchesterCity,0,1,A,2018-2019
Arsenal,Liverpool,1,1,D,2018-2019
AFCBournemouth,ManchesterUnited,1,2,A,2018-2019
CardiffCity,LeicesterCity,0,1,A,2018-2019
Everton,BrightonandHoveAlbion,3,1,H,2018-2019
NewcastleUnited,Watford,1,0,H,2018-2019
WestHamUnited,Burnley,4,2,H,2018-2019
