home_team,away_team,home_goals,away_goals,result,season
TottenhamHotspur,ManchesterCity,0,0,D,2010-2011
AstonVilla,WestHamUnited,3,0,H,2010-2011
BlackburnRovers,Everton,1,0,H,2010-2011
BoltonWanderers,Fulham,0,0,D,2010-2011
Sunderland,BirminghamCity,2,2,D,2010-2011
WiganAthletic,Blackpool,0,4,A,2010-2011
WolverhamptonWanderers,StokeCity,2,1,H,2010-2011
Chelsea,WestBromwichAlbion,6,0,H,2010-2011
Liverpool,Arsenal,1,1,D,2010-2011
ManchesterUnited,NewcastleUnited,3,0,H,2010-2011
Arsenal,Blackpool,6,0,H,2010-2011
BirminghamCity,BlackburnRovers,2,1,H,2010-2011
Everton,WolverhamptonWanderers,1,1,D,2010-2011
StokeCity,TottenhamHotspur,1,2,A,2010-2011
WestBromwichAlbion,Sunderland,1,0,H,2010-2011
WestHamUnited,BoltonWanderers,1,3,A,2010-2011
WiganAthletic,Chelsea,0,6,A,2010-2011
NewcastleUnited,AstonVilla,6,0,H,2010-2011
Fulham,ManchesterUnited,2,2,D,2010-2011
ManchesterCity,Liverpool,3,0,H,2010-2011
BlackburnRovers,Arsenal,1,2,A,2010-2011
Blackpool,Fulham,2,2,D,2010-2011
Chelsea,StokeCity,2,0,H,2010-2011
TottenhamHotspur,WiganAthletic,0,1,A,2010-2011
WolverhamptonWanderers,NewcastleUnited,1,1,D,2010-2011
ManchesterUnited,WestHamUnited,3,0,H,2010-2011
BoltonWanderers,BirminghamCity,2,2,D,2010-2011
Liverpool,WestBromwichAlbion,1,0,H,2010-2011
Sunderland,ManchesterCity,1,0,H,2010-2011
AstonVilla,Everton,1,0,H,2010-2011
Everton,ManchesterUnited,3,3,D,2010-2011
Arsenal,BoltonWanderers,4,1,H,2010-2011
Fulham,WolverhamptonWanderers,2,1,H,2010-2011
ManchesterCity,BlackburnRovers,1,1,D,2010-2011
NewcastleUnited,Blackpool,0,2,A,2010-2011
WestBromwichAlbion,TottenhamHotspur,1,1,D,2010-2011
WestHamUnited,Chelsea,1,3,A,2010-2011
WiganAthletic,Sunderland,1,1,D,2010-2011
BirminghamCity,Liverpool,0,0,D,2010-2011
StokeCity,AstonVilla,2,1,H,2010-2011
StokeCity,WestHamUnited,1,1,D,2010-2011
AstonVilla,BoltonWanderers,1,1,D,2010-2011
BlackburnRovers,Fulham,1,1,D,2010-2011
Everton,NewcastleUnited,0,1,A,2010-2011
TottenhamHotspur,WolverhamptonWanderers,3,1,H,2010-2011
WestBromwichAlbion,BirminghamCity,3,1,H,2010-2011
Sunderland,Arsenal,1,1,D,2010-2011
ManchesterUnited,Liverpool,3,2,H,2010-2011
WiganAthletic,ManchesterCity,0,2,A,2010-2011
Chelsea,Blackpool,4,0,H,2010-2011
ManchesterCity,Chelsea,1,0,H,2010-2011
Arsenal,WestBromwichAlbion,2,3,A,2010-2011
BirminghamCity,WiganAthletic,0,0,D,2010-2011
Blackpool,BlackburnRovers,1,2,A,2010-2011
Fulham,Everton,0,0,D,2010-2011
Liverpool,Sunderland,2,2,D,2010-2011
WestHamUnited,TottenhamHotspur,1,0,H,2010-2011
BoltonWanderers,ManchesterUnited,2,2,D,2010-2011
WolverhamptonWanderers,AstonVilla,1,2,A,2010-2011
NewcastleUnited,StokeCity,1,2,A,2010-2011
WiganAthletic,WolverhamptonWanderers,2,0,H,2010-2011
BirminghamCity,Everton,0,2,A,2010-2011
StokeCity,BlackburnRovers,1,0,H,2010-2011
Sunderland,ManchesterUnited,0,0,D,2010-2011
TottenhamHotspur,AstonVilla,2,1,H,2010-2011
WestBromwichAlbion,BoltonWanderers,1,1,D,2010-2011
WestHamUnited,Fulham,1,1,D,2010-2011
ManchesterCity,NewcastleUnited,2,1,H,2010-2011
Liverpool,Blackpool,1,2,A,2010-2011
Chelsea,Arsenal,2,0,H,2010-2011
Arsenal,BirminghamCity,2,1,H,2010-2011
BoltonWanderers,StokeCity,2,1,H,2010-2011
Fulham,TottenhamHotspur,1,2,A,2010-2011
ManchesterUnited,WestBromwichAlbion,2,2,D,2010-2011
NewcastleUnited,WiganAthletic,2,2,D,2010-2011
WolverhamptonWanderers,WestHamUnited,1,1,D,2010-2011
AstonVilla,Chelsea,0,0,D,2010-2011
Everton,Liverpool,2,0,H,2010-2011
Blackpool,ManchesterCity,2,3,A,2010-2011
BlackburnRovers,Sunderland,0,0,D,2010-2011
TottenhamHotspur,Everton,1,1,D,2010-2011
BirminghamCity,Blackpool,2,0,H,2010-2011
Chelsea,WolverhamptonWanderers,2,0,H,2010-2011
Sunderland,AstonVilla,1,0,H,2010-2011
WestBromwichAlbion,Fulham,2,1,H,2010-2011
WiganAthletic,BoltonWanderers,1,1,D,2010-2011
WestHamUnited,NewcastleUnited,1,2,A,2010-2011
StokeCity,ManchesterUnited,1,2,A,2010-2011
Liverpool,BlackburnRovers,2,1,H,2010-2011
ManchesterCity,Arsenal,0,3,A,2010-2011
Arsenal,WestHamUnited,1,0,H,2010-2011
BlackburnRovers,Chelsea,1,2,A,2010-2011
Everton,StokeCity,1,0,H,2010-2011
Fulham,WiganAthletic,2,0,H,2010-2011
WolverhamptonWanderers,ManchesterCity,2,1,H,2010-2011
ManchesterUnited,TottenhamHotspur,2,0,H,2010-2011
AstonVilla,BirminghamCity,0,0,D,2010-2011
NewcastleUnited,Sunderland,5,1,H,2010-2011
BoltonWanderers,Liverpool,0,1,A,2010-2011
Blackpool,WestBromwichAlbion,2,1,H,2010-2011
BoltonWanderers,TottenhamHotspur,4,2,H,2010-2011
BirminghamCity,WestHamUnited,2,2,D,2010-2011
BlackburnRovers,WiganAthletic,2,1,H,2010-2011
Blackpool,Everton,2,2,D,2010-2011
Fulham,AstonVilla,1,1,D,2010-2011
ManchesterUnited,WolverhamptonWanderers,2,1,H,2010-2011
Sunderland,StokeCity,2,0,H,2010-2011
Arsenal,NewcastleUnited,0,1,A,2010-2011
WestBromwichAlbion,ManchesterCity,0,2,A,2010-2011
Liverpool,Chelsea,2,0,H,2010-2011
StokeCity,BirminghamCity,3,2,H,2010-2011
TottenhamHotspur,Sunderland,1,1,D,2010-2011
AstonVilla,Blackpool,3,2,H,2010-2011
Chelsea,Fulham,1,0,H,2010-2011
NewcastleUnited,BlackburnRovers,1,2,A,2010-2011
WestHamUnited,WestBromwichAlbion,2,2,D,2010-2011
WiganAthletic,Liverpool,1,1,D,2010-2011
WolverhamptonWanderers,Arsenal,0,2,A,2010-2011
Everton,BoltonWanderers,1,1,D,2010-2011
ManchesterCity,ManchesterUnited,0,0,D,2010-2011
AstonVilla,ManchesterUnited,2,2,D,2010-2011
ManchesterCity,BirminghamCity,0,0,D,2010-2011
NewcastleUnited,Fulham,0,0,D,2010-2011
TottenhamHotspur,BlackburnRovers,4,2,H,2010-2011
WestHamUnited,Blackpool,0,0,D,2010-2011
WiganAthletic,WestBromwichAlbion,1,0,H,2010-2011
WolverhamptonWanderers,BoltonWanderers,2,3,A,2010-2011
StokeCity,Liverpool,2,0,H,2010-2011
Everton,Arsenal,1,2,A,2010-2011
Chelsea,Sunderland,0,3,A,2010-2011
Arsenal,TottenhamHotspur,2,3,A,2010-2011
BirminghamCity,Chelsea,1,0,H,2010-2011
Blackpool,WolverhamptonWanderers,2,1,H,2010-2011
BoltonWanderers,NewcastleUnited,5,1,H,2010-2011
ManchesterUnited,WiganAthletic,2,0,H,2010-2011
WestBromwichAlbion,StokeCity,0,3,A,2010-2011
Liverpool,WestHamUnited,3,0,H,2010-2011
BlackburnRovers,AstonVilla,2,0,H,2010-2011
Fulham,ManchesterCity,1,4,A,2010-2011
Sunderland,Everton,2,2,D,2010-2011
AstonVilla,Arsenal,2,4,A,2010-2011
BoltonWanderers,Blackpool,2,2,D,2010-2011
Everton,WestBromwichAlbion,1,4,A,2010-2011
Fulham,BirminghamCity,1,1,D,2010-2011
ManchesterUnited,BlackburnRovers,7,1,H,2010-2011
StokeCity,ManchesterCity,1,1,D,2010-2011
WestHamUnited,WiganAthletic,3,1,H,2010-2011
WolverhamptonWanderers,Sunderland,3,2,H,2010-2011
NewcastleUnited,Chelsea,1,1,D,2010-2011
TottenhamHotspur,Liverpool,2,1,H,2010-2011
Arsenal,Fulham,2,1,H,2010-2011
BirminghamCity,TottenhamHotspur,1,1,D,2010-2011
BlackburnRovers,WolverhamptonWanderers,3,0,H,2010-2011
Chelsea,Everton,1,1,D,2010-2011
ManchesterCity,BoltonWanderers,1,0,H,2010-2011
WiganAthletic,StokeCity,2,2,D,2010-2011
WestBromwichAlbion,NewcastleUnited,3,1,H,2010-2011
Sunderland,WestHamUnited,1,0,H,2010-2011
Liverpool,AstonVilla,3,0,H,2010-2011
AstonVilla,WestBromwichAlbion,2,1,H,2010-2011
Everton,WiganAthletic,0,0,D,2010-2011
Fulham,Sunderland,0,0,D,2010-2011
StokeCity,Blackpool,0,1,A,2010-2011
WestHamUnited,ManchesterCity,1,3,A,2010-2011
NewcastleUnited,Liverpool,3,1,H,2010-2011
BoltonWanderers,BlackburnRovers,2,1,H,2010-2011
WolverhamptonWanderers,BirminghamCity,1,0,H,2010-2011
TottenhamHotspur,Chelsea,1,1,D,2010-2011
ManchesterUnited,Arsenal,1,0,H,2010-2011
Sunderland,BoltonWanderers,1,0,H,2010-2011
BlackburnRovers,WestHamUnited,1,1,D,2010-2011
ManchesterCity,Everton,1,2,A,2010-2011
Fulham,WestHamUnited,1,3,A,2010-2011
BlackburnRovers,StokeCity,0,2,A,2010-2011
BoltonWanderers,WestBromwichAlbion,2,0,H,2010-2011
ManchesterUnited,Sunderland,2,0,H,2010-2011
NewcastleUnited,ManchesterCity,1,3,A,2010-2011
WolverhamptonWanderers,WiganAthletic,1,2,A,2010-2011
AstonVilla,TottenhamHotspur,1,2,A,2010-2011
Arsenal,Chelsea,3,1,H,2010-2011
ManchesterCity,AstonVilla,4,0,H,2010-2011
StokeCity,Fulham,0,2,A,2010-2011
Sunderland,Blackpool,0,2,A,2010-2011
TottenhamHotspur,NewcastleUnited,2,0,H,2010-2011
WestBromwichAlbion,BlackburnRovers,1,3,A,2010-2011
WestHamUnited,Everton,1,1,D,2010-2011
BirminghamCity,ManchesterUnited,1,1,D,2010-2011
Chelsea,BoltonWanderers,1,0,H,2010-2011
WiganAthletic,Arsenal,2,2,D,2010-2011
Liverpool,WolverhamptonWanderers,0,1,A,2010-2011
WestBromwichAlbion,ManchesterUnited,1,2,A,2010-2011
Liverpool,BoltonWanderers,2,1,H,2010-2011
ManchesterCity,Blackpool,1,0,H,2010-2011
StokeCity,Everton,2,0,H,2010-2011
Sunderland,BlackburnRovers,3,0,H,2010-2011
TottenhamHotspur,Fulham,1,0,H,2010-2011
WestHamUnited,WolverhamptonWanderers,2,0,H,2010-2011
BirminghamCity,Arsenal,0,3,A,2010-2011
Chelsea,AstonVilla,3,3,D,2010-2011
WiganAthletic,NewcastleUnited,0,1,A,2010-2011
Blackpool,BirminghamCity,1,2,A,2010-2011
Fulham,WestBromwichAlbion,3,0,H,2010-2011
ManchesterUnited,StokeCity,2,1,H,2010-2011
Arsenal,ManchesterCity,0,0,D,2010-2011
AstonVilla,Sunderland,0,1,A,2010-2011
NewcastleUnited,WestHamUnited,5,0,H,2010-2011
WolverhamptonWanderers,Chelsea,1,0,H,2010-2011
BlackburnRovers,Liverpool,3,1,H,2010-2011
BoltonWanderers,WiganAthletic,1,1,D,2010-2011
Everton,TottenhamHotspur,2,1,H,2010-2011
Blackpool,Liverpool,2,1,H,2010-2011
